dv,task,measure_description,retest_reliability,type,days,sample_size,reference,overall_difference,raw_fit,rt_acc,ddm_task,mturk
adaptive_n_back.acc,task,Proportion of correct responses (both hits and correct rejections) where correct is pressing one button over the other for a letter depending on the load,0.493,Pearson,7,70,Hockey and Geffen (2004),overall,raw,accuracy,1,0
adaptive_n_back.acc,task,Proportion of correct responses (both hits and correct rejections) where correct is pressing one button over the other for a letter depending on the load,0.732,Pearson,7,70,Hockey and Geffen (2004),overall,raw,accuracy,1,0
adaptive_n_back.acc,task,Proportion of correct responses (both hits and correct rejections) where correct is pressing one button over the other for a letter depending on the load,0.519,Pearson,7,70,Hockey and Geffen (2004),overall,raw,accuracy,1,0
adaptive_n_back.acc,task,Proportion of correct responses (both hits and correct rejections) where correct is pressing one button over the other for a letter depending on the load,0.538,Pearson,7,70,Hockey and Geffen (2004),overall,raw,accuracy,1,0
adaptive_n_back.acc,task,Proportion of correct responses (both hits and correct rejections) where correct is pressing one button over the other for a letter depending on the load,0.65,Pearson,18,105,Van Leeuwen et al. (2007),overall,raw,accuracy,1,0
adaptive_n_back.acc,task,Proportion of correct responses (both hits and correct rejections) where correct is pressing one button over the other for a letter depending on the load,0.7,Pearson,18,105,Van Leeuwen et al. (2007),overall,raw,accuracy,1,0
adaptive_n_back.acc,task,Proportion of correct responses (both hits and correct rejections) where correct is pressing one button over the other for a letter depending on the load,0.16,Pearson,18,29,Van Leeuwen et al. (2007),overall,raw,accuracy,1,0
adaptive_n_back.acc,task,Proportion of correct responses (both hits and correct rejections) where correct is pressing one button over the other for a letter depending on the load,0.7,Pearson,18,29,Van Leeuwen et al. (2007),overall,raw,accuracy,1,0
adaptive_n_back.acc,task,Proportion of correct responses (both hits and correct rejections) where correct is pressing one button over the other for a letter depending on the load,0.69,Pearson,28,112,Stueder-Luthi et al. (2012),overall,raw,accuracy,1,0
adaptive_n_back.avg_rt,task,Median response times for correct responses only,0.857,Pearson,7,70,Hockey and Geffen (2004),overall,raw,rt,1,0
adaptive_n_back.avg_rt,task,Median response times for correct responses only,0.787,Pearson,7,70,Hockey and Geffen (2004),overall,raw,rt,1,0
adaptive_n_back.avg_rt,task,Median response times for correct responses only,0.691,Pearson,7,70,Hockey and Geffen (2004),overall,raw,rt,1,0
adaptive_n_back.avg_rt,task,Median response times for correct responses only,0.806,Pearson,7,70,Hockey and Geffen (2004),overall,raw,rt,1,0
