,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.log_ll,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.num_trials,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.log_ll,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.num_trials,columbia_card_task_hot.probability_sensitivity,go_nogo.acc,go_nogo.bias,go_nogo.commission_errors,go_nogo.dprime,go_nogo.go_acc,go_nogo.go_rt,go_nogo.nogo_acc,go_nogo.omission_errors,hierarchical_rule.acc,hierarchical_rule.avg_rt,hierarchical_rule.avg_rt_error,hierarchical_rule.missed_percent,hierarchical_rule.post_error_slowing,hierarchical_rule.score,hierarchical_rule.std_rt,hierarchical_rule.std_rt_error,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_acc,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Decreasing_Win_total_points,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_acc,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,information_sampling_task.Fixed_Win_total_points,keep_track.score,kirby.exp_discount_rate,kirby.exp_discount_rate_large,kirby.exp_discount_rate_medium,kirby.exp_discount_rate_small,kirby.exp_match_pct,kirby.exp_match_pct_large,kirby.exp_match_pct_medium,kirby.exp_match_pct_small,kirby.hyp_discount_rate,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,kirby.hyp_match_pct,kirby.hyp_match_pct_large,kirby.hyp_match_pct_medium,kirby.hyp_match_pct_small,kirby.percent_patient,kirby.percent_patient_large,kirby.percent_patient_medium,kirby.percent_patient_small,kirby.warnings,ravens.score,simple_reaction_time.avg_rt,simple_reaction_time.missed_percent,simple_reaction_time.std_rt,two_stage_decision.avg_rt,two_stage_decision.missed_percent,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance
s005,9.3333333333,0.375,1,-8.8669803062,-0.0235,6,1.25,9.7142857143,0.43571428570000004,0,-17.0226197136,0.0012857143,7,-1.3214285714,0.9772727273,-0.4457110796,0.0909090909,3.5617776314,0.9870129870000001,346.0,0.9090909091,0.012987013,0.4831460674,795.0,783.0,0.011111111100000001,-85.7,43,206.8322087326,179.04103246,,,,,,,,,,,0.625,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,1.0,1.0,1.0,1.0,0.06403124240000001,0.0399243052,0.0149233694,0.06403124240000001,1.0,1,1.0,1.0,0.2857142857,0.5,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s005', 'Incorrect number of trials in small condition for worker_id:s005', 'Incorrect number of trials in medium condition for worker_id:s005', 'Incorrect number of trials in large condition for worker_id:s005']",2,302.0,0.0,32.2283040919,902.2,0.0,0.8778127229,-0.1836169225,1.0561300732
s007,4.5,0.1071428571,0,-6.5737497045,-0.0111428571,6,-1.0714285714,13.6,0.5125000000000001,0,-7.6525515443,-0.007,5,3.375,0.9886363636000001,-0.6904818553000001,0.125,3.6816624713,1.0,362.0,0.875,0.0,0.2209302326,571.0,610.0,0.044444444400000005,,19,381.6028905575,300.265688169,,,,,,,,,,,1.0,0.9844600706000001,0.9368117971000001,0.9591600679000001,0.9844600706000001,1.0,1.0,1.0,1.0,0.0158414076,0.0399243052,0.0149233694,0.0158414076,1.0,1,1.0,1.0,0.4285714286,0.5,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s007', 'Incorrect number of trials in small condition for worker_id:s007', 'Incorrect number of trials in medium condition for worker_id:s007', 'Incorrect number of trials in large condition for worker_id:s007']",3,470.5,0.0,162.9784760069,,,,,
s009,17.3333333333,-0.275,0,-17.5257244283,-0.022,6,-8.25,11.6666666667,0.15,0,80.8224182599,-0.01,3,7.0,1.0,0.0,0.0,5.0626261818,1.0,316.0,1.0,0.0,0.5888888889,811.0,897.0,0.0,72.6111111111,53,209.4115779955,197.4539099298,,,,,,,,,,,0.75,0.9997499962,0.9984583584000001,0.9997499962,0.9844600706000001,0.8571428571,1.0,1.0,1.0,0.0002011893,0.0006903211000000001,0.0002011893,0.0158414076,0.8571428571,1,1.0,1.0,0.7142857143,1.0,0.5,0.6666666667000001,"['Incorrect number of total trials for worker_id:s009', 'Incorrect number of trials in small condition for worker_id:s009', 'Incorrect number of trials in medium condition for worker_id:s009', 'Incorrect number of trials in large condition for worker_id:s009']",1,254.5,0.0,67.3021308255,554.65,0.0,-0.2561280144,0.2799278255,0.1666502961
s011,6.5,-0.15,0,-7.2972358749,-0.012,6,-1.5,6.4,-0.1650165017,0,-6.9222104873,-0.0006666667,5,-0.016501650200000002,0.9886363636000001,-0.7819457624,0.1666666667,3.498734657,1.0,317.0,0.8333333333,0.0,0.5617977528,869.5,964.0,0.011111111100000001,-35.7333333333,50,244.7624929583,227.792996211,,,,,,,,,,,0.30000000000000004,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,0.8571428571,0.5,1.0,1.0,0.25,0.25,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s011', 'Incorrect number of trials in small condition for worker_id:s011', 'Incorrect number of trials in medium condition for worker_id:s011', 'Incorrect number of trials in large condition for worker_id:s011']",1,292.0,0.0,44.8227185969,557.19,0.0,-0.1750520915,-0.3698543688,-0.7135429738
s012,9.5,0.0714285714,0,-11.8567131361,-0.0151428571,6,-1.3571428571,5.0,-0.0004792256,0,-5.7280594791,-0.0119806393,3,-4.79226e-05,0.9318181818000001,-1.2006163012,0.6666666667000001,1.5397780039,0.9756097561,298.5,0.33333333330000003,0.0243902439,0.3444444444,901.0,830.0,0.0,62.2857142857,31,244.1274389568,232.5938534074,,,,,,,,,,,0.75,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,0.8571428571,0.5,1.0,1.0,0.1265219767,0.25,0.0149233694,0.06403124240000001,0.8571428571,1,1.0,1.0,0.1428571429,0.0,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s012', 'Incorrect number of trials in small condition for worker_id:s012', 'Incorrect number of trials in medium condition for worker_id:s012', 'Incorrect number of trials in large condition for worker_id:s012']",1,328.0,0.0,72.5707973354,794.41,0.0,0.0748412522,-0.1430976156,0.2594369037
s014,8.5,-0.1571428571,1,-7.6978300528,-0.0094285714,6,-4.8571428571,5.1666666667,3.885780586e-16,2,-1.0589112499,-0.009000000000000001,6,-3.5,0.8636363636000001,-0.2959648909,0.2857142857,1.7238274256000001,0.8765432099,403.0,0.7142857143,0.1234567901,0.3146067416,749.0,738.0,0.011111111100000001,-43.75,28,502.4855206,518.8026794636,,,,,,,,,,,0.30000000000000004,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,1.0,1.0,1.0,1.0,0.158113883,0.0399243052,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.1428571429,0.5,0.0,0.0,"['Incorrect number of total trials for worker_id:s014', 'Incorrect number of trials in small condition for worker_id:s014', 'Incorrect number of trials in medium condition for worker_id:s014', 'Incorrect number of trials in large condition for worker_id:s014']",0,302.5,0.0,72.8963097642,476.45,0.0,-0.7613544475,-0.0175156556,-0.687999319
s015,7.5,0.26428571430000003,1,-8.6531912461,-0.0048571429,6,-5.7142857143,9.5,0.05,0,107.7588770062,-0.014,4,-2.5,1.0,0.0,0.0,5.0626261818,1.0,311.0,1.0,0.0,0.5333333333,1200.5,1275.5,0.0,293.5384615385,48,365.8129366356,312.3906359155,,,,,,,,,,,0.625,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,1.0,1.0,1.0,1.0,0.158113883,0.0399243052,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.1428571429,0.5,0.0,0.0,"['Incorrect number of total trials for worker_id:s015', 'Incorrect number of trials in small condition for worker_id:s015', 'Incorrect number of trials in medium condition for worker_id:s015', 'Incorrect number of trials in large condition for worker_id:s015']",1,267.0,0.0,52.1306556947,707.03,0.0,-0.4203838689,0.8329299047000001,-0.2506898649
s017,11.5,0.025,0,-8.6360971828,-0.0105,6,-2.75,9.75,-0.0002396128,0,-4.2894597717,-0.0059903196,4,-2.39613e-05,1.0,0.0,0.0,5.0626261818,1.0,349.0,1.0,0.0,0.4494382022,695.5,878.0,0.011111111100000001,46.1111111111,40,167.2689202054,229.6364066338,,,,,,,,,,,0.8333333333,0.9997499962,0.9984583584000001,0.9997499962,0.9984583584000001,1.0,1.0,1.0,1.0,0.0002011893,0.0006903211000000001,0.0002011893,0.0006903211000000001,1.0,1,1.0,1.0,0.8571428571,1.0,0.5,1.0,"['Incorrect number of total trials for worker_id:s017', 'Incorrect number of trials in small condition for worker_id:s017', 'Incorrect number of trials in medium condition for worker_id:s017', 'Incorrect number of trials in large condition for worker_id:s017']",2,302.0,0.0,45.439093714,750.59,0.0,0.26863694400000004,0.18123234500000002,0.46968243120000003
s026,14.0,1.8811881188,2,157.3126556459,0.0,6,-3.0,10.0,1.110223025e-16,0,139.5827819224,-3.434752482e-16,5,-1.3877787810000002e-17,1.0,0.0,0.0,5.0626261818,1.0,328.5,1.0,0.0,0.5111111111000001,1265.5,1266.5,0.0,-0.4285714286,46,221.911058477,252.239788052,,,,,,,,,,,0.5,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s026', 'Incorrect number of trials in small condition for worker_id:s026', 'Incorrect number of trials in medium condition for worker_id:s026', 'Incorrect number of trials in large condition for worker_id:s026']",1,277.5,0.0,21.8455232205,479.83,0.0,0.5637093096,0.2441460266,0.8853891007
s027,11.0,0.9,2,-9.3766774166,-0.024,6,-3.0,9.8,0.17500000000000002,0,-8.5641593283,-0.006,5,-0.75,0.9886363636000001,-0.6553363710000001,0.1111111111,3.7519534397000003,1.0,333.0,0.8888888889000001,0.0,0.41111111110000004,906.0,897.0,0.0,-215.6666666667,37,408.6191847407,316.5628300972,,,,,,,,,,,0.5,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,0.8571428571,0.5,1.0,1.0,0.25,0.25,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s027', 'Incorrect number of trials in small condition for worker_id:s027', 'Incorrect number of trials in medium condition for worker_id:s027', 'Incorrect number of trials in large condition for worker_id:s027']",0,302.0,0.0,47.4174959157,337.42,0.0,0.6123161116,-0.297632697,0.6096565420000001
