,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_coef_of_variation,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_coef_of_variation,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.log_ll,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.num_trials,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.log_ll,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.num_trials,columbia_card_task_hot.probability_sensitivity,go_nogo.acc,go_nogo.bias,go_nogo.commission_errors,go_nogo.dprime,go_nogo.go_acc,go_nogo.go_rt,go_nogo.nogo_acc,go_nogo.omission_errors,hierarchical_rule.acc,hierarchical_rule.avg_rt,hierarchical_rule.avg_rt_error,hierarchical_rule.missed_percent,hierarchical_rule.post_error_slowing,hierarchical_rule.score,hierarchical_rule.std_rt,hierarchical_rule.std_rt_error,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_acc,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Decreasing_Win_total_points,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_acc,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,information_sampling_task.Fixed_Win_total_points,keep_track.score,kirby.exp_discount_rate,kirby.exp_discount_rate_large,kirby.exp_discount_rate_medium,kirby.exp_discount_rate_small,kirby.exp_match_pct,kirby.exp_match_pct_large,kirby.exp_match_pct_medium,kirby.exp_match_pct_small,kirby.hyp_discount_rate,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,kirby.hyp_match_pct,kirby.hyp_match_pct_large,kirby.hyp_match_pct_medium,kirby.hyp_match_pct_small,kirby.percent_patient,kirby.percent_patient_large,kirby.percent_patient_medium,kirby.percent_patient_small,kirby.warnings,ravens.score,simple_reaction_time.avg_rt,simple_reaction_time.missed_percent,simple_reaction_time.std_rt,two_stage_decision.avg_rt,two_stage_decision.missed_percent,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance
s005,36.3636363636,13.1458682792,0.2666666667,750.0,40.0,15.4919333848,0.5384615385,215.0,12.8333333333,0.33111702130000004,3,-56.2956583293,-0.0272898936,18,-4.1502659574,12.7777777778,0.5360105332,3,-49.8672323025,-0.015036208,18,-4.3439763002,0.9656488550000001,-0.504881511,0.1538461538,3.0499154875,0.9788135593,332.0,0.8461538462,0.0211864407,0.4232209738,853.0,848.5,0.011111111100000001,20.1,113,393.1887826143,443.7605201508,0.7597668966000001,1.0,9.6666666667,0.0009104097000000001,460.0,0.9208297729,0.9,16.7,0.001067059,800.0,0.5,0.9660861697,0.9741544815000001,0.9844600706000001,0.9538658187000001,0.9500000000000001,1.0,1.0,1.0,0.0404969135,0.025234410000000002,0.0158414076,0.06403124240000001,0.9500000000000001,1.0,1.0,1.0,0.30000000000000004,0.2857142857,0.33333333330000003,0.2857142857,"['Incorrect number of total trials for worker_id:s005', 'Incorrect number of trials in small condition for worker_id:s005', 'Incorrect number of trials in medium condition for worker_id:s005', 'Incorrect number of trials in large condition for worker_id:s005']",11,301.0,0.0,52.7231392083,879.7633333333,0.0,0.7619268011,0.2955939963,1.3868745185
s007,19.538461538500002,6.0500052977,0.23529411760000002,236.0,14.8,7.6865683717,0.1666666667,340.0,4.9444444444,0.0285714286,0,-35.9804349629,-0.00022222220000000002,18,0.0857142857,12.7647058824,0.2340019569,1,-37.5832368592,-0.0018454012,17,0.7964774951,0.9732824427000001,-1.1550388803,0.28,3.4757607751,1.0,365.0,0.72,0.0,0.2927756654,901.0,831.5,0.0259259259,-86.8,77,397.042654442,358.6516060374,0.8762283325,1.0,11.0,0.0008554202,560.0,0.8767990112,1.0,15.7,0.0012070223,1000.0,0.7692307692,0.9660861697,0.9741544815000001,0.9538658187000001,0.9784630806000001,0.9500000000000001,1.0,1.0,1.0,0.0404969135,0.025234410000000002,0.06403124240000001,0.0256124969,0.9500000000000001,1.0,1.0,1.0,0.30000000000000004,0.2857142857,0.1666666667,0.4285714286,"['Incorrect number of total trials for worker_id:s007', 'Incorrect number of trials in small condition for worker_id:s007', 'Incorrect number of trials in medium condition for worker_id:s007', 'Incorrect number of trials in large condition for worker_id:s007']",9,531.0,0.0089285714,188.7922834491,,,,,
s009,26.9230769231,5.6044853832,0.2777777778,320.0,19.1304347826,3.8999341233,0.2333333333,420.0,12.9444444444,0.1959859155,2,-57.6310291409,-0.023042253500000002,18,-4.6598591549,6.1333333333,0.1076791809,1,-33.9456465286,-0.0034470990000000003,15,-3.2508532423,0.9961832061,-0.5533818533,0.037037037,4.6790748291,1.0,291.0,0.9629629630000001,0.0,0.6394052045,863.0,938.0,0.0037037037000000003,-2.1904761905,172,233.7135343746,301.7236505434,0.6171309948,0.8,3.6,0.0017705286000000002,1500.0,0.9869791667000001,1.0,19.8333333333,0.0031171134,600.0,0.7000000000000001,0.9967484003,0.9954988699,0.9997499962,0.9904938162,0.85,1.0,1.0,1.0,0.0024746160000000002,0.0038729833,0.0002011893,0.009797959,0.85,1.0,1.0,1.0,0.6000000000000001,0.4285714286,0.8333333333,0.5714285714,"['Incorrect number of total trials for worker_id:s009', 'Incorrect number of trials in small condition for worker_id:s009', 'Incorrect number of trials in medium condition for worker_id:s009', 'Incorrect number of trials in large condition for worker_id:s009']",6,265.5,0.0,59.762102779,468.56,0.0,-1.019862971,0.157560571,-0.4399592829
s011,40.5555555556,4.161761819,0.4,690.0,23.3333333333,5.7735026919,0.5714285714,50.0,5.3888888889,0.0328093645,2,-35.7365574097,-0.0043010033,18,-1.483277592,7.1666666667,0.1316129032,3,-24.4517670915,-0.0035698925,18,-3.6182795699,0.9847328244,-0.7052350287,0.1111111111,3.8517507551,0.9957446809,315.5,0.8888888889000001,0.0042553191,0.6679104478,864.0,952.0,0.0074074074000000005,14.6578947368,179,271.4770620918,260.9298661441,0.8453687032,1.0,7.0,0.0015970754,540.0,0.8675750732,0.9,14.0,0.0018161934000000002,800.0,0.5333333333,0.866,0.8834645520000001,0.8834645520000001,0.866,0.9500000000000001,0.8571428571,1.0,1.0,0.25,0.25,0.1988176822,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s011', 'Incorrect number of trials in small condition for worker_id:s011', 'Incorrect number of trials in medium condition for worker_id:s011', 'Incorrect number of trials in large condition for worker_id:s011']",11,310.0,0.0,59.753805687,568.31,0.0,-0.2782634741,-0.7629587252000001,-0.5083866679
s012,46.3636363636,3.8019133939,0.3529411765,465.0,24.5652173913,7.5487873015,0.2333333333,527.0,6.7777777778,0.0658528428,2,-41.3618455066,-0.005872909700000001,18,-3.5414715719,5.2666666667,0.20898876400000002,3,-36.9243502132,-0.009348314600000001,15,-2.8806179775,0.9580152672000001,-1.0820478411,0.4090909091,2.6238639174,0.9916666667,323.0,0.5909090909,0.0083333333,0.4703703704,773.0,775.0,0.0,26.935483871,127,190.5399225025,210.9845448932,,,,,,,,,,,0.6000000000000001,0.9538658187000001,0.8834645520000001,0.9538658187000001,0.9538658187000001,0.9,0.8571428571,1.0,1.0,0.06403124240000001,0.25,0.06403124240000001,0.06403124240000001,0.9,1.0,1.0,1.0,0.15,0.0,0.1666666667,0.2857142857,"['Incorrect number of total trials for worker_id:s012', 'Incorrect number of trials in small condition for worker_id:s012', 'Incorrect number of trials in medium condition for worker_id:s012', 'Incorrect number of trials in large condition for worker_id:s012']",11,334.5,0.0,66.6858788276,756.9149659864,0.02,-0.2212558323,0.1169928342,-0.0662574935
s014,16.1481481481,9.493737627,0.1,426.0,16.875,12.9883189278,0.1111111111,128.0,7.2222222222,0.021428571400000002,2,-47.6973171786,-0.0120714286,18,-3.0178571429,3.7368421053,0.1157119021,2,-41.5086021124,-0.0092769744,19,-2.9226918799,0.9503816794000001,-0.2627051428,0.1153846154,2.9221696902,0.9576271186,332.5,0.8846153846,0.0423728814,0.4440298507,831.0,831.0,0.0074074074000000005,117.0384615385,119,432.9750222476,480.4489885895,0.6582957109,1.0,5.8333333333,0.0010782474,1150.0,0.5847579479,0.4,4.4,0.0008385868,-200.0,0.5,0.866,0.8834645520000001,0.8834645520000001,0.866,1.0,1.0,1.0,1.0,0.1988176822,0.158113883,0.1988176822,0.25,0.9500000000000001,1.0,1.0,1.0,0.05,0.1428571429,0.0,0.0,"['Incorrect number of total trials for worker_id:s014', 'Incorrect number of trials in small condition for worker_id:s014', 'Incorrect number of trials in medium condition for worker_id:s014', 'Incorrect number of trials in large condition for worker_id:s014']",4,311.5,0.0,146.439881575,446.0067114094,0.006666666700000001,-0.6834748247,-0.2451478953,-0.7452646472000001
s015,44.2222222222,6.9960306206,0.4705882353,351.0,24.5,8.5686085587,0.33333333330000003,460.0,9.3888888889,0.18461538460000002,2,-42.9812636519,-0.0023076923,18,-6.8692307692,7.0666666667,0.11264044940000001,1,-38.1612967726,-0.002508427,15,-3.7837078652000002,0.9770992366000001,-1.0140124546,0.1935483871,3.7578136266,1.0,318.0,0.8064516129,0.0,0.6000000000000001,1249.5,1329.0,0.0,164.4166666667,162,319.2558208679,311.6648528943,0.6677876472000001,0.7000000000000001,5.0,0.0014048019,1100.0,0.9997209821,1.0,22.1428571429,0.0015495689,700.0,0.5666666667,0.9538658187000001,0.9741544815000001,0.9538658187000001,0.9012813101,0.9500000000000001,1.0,1.0,1.0,0.06403124240000001,0.025234410000000002,0.06403124240000001,0.158113883,0.9500000000000001,1.0,1.0,1.0,0.2,0.2857142857,0.1666666667,0.1428571429,"['Incorrect number of total trials for worker_id:s015', 'Incorrect number of trials in small condition for worker_id:s015', 'Incorrect number of trials in medium condition for worker_id:s015', 'Incorrect number of trials in large condition for worker_id:s015']",8,276.0,0.0,75.5883295215,690.8547297297,0.0133333333,0.21005669940000002,0.6485129792000001,-0.4103812039
s017,37.5,7.0683476472,0.125,480.0,21.3333333333,5.8309518948,0.1,550.0,10.1111111111,0.0871794872,2,-36.8899348879,-0.0130769231,18,-2.2948717949,8.7333333333,0.11025641030000001,1,-30.3751613991,-0.0042564103,15,-1.7307692308,0.9961832061,-0.6011488191000001,0.0454545455,4.5835408975,1.0,324.0,0.9545454545000001,0.0,0.6059479554,798.0,904.5,0.0037037037000000003,-10.9210526316,163,201.3463178097,229.0739449112,0.767848587,0.9,9.7,0.0024491452000000003,1350.0,0.9895833333,1.0,23.1666666667,0.0026144141000000003,600.0,0.5714285714,0.9997499962,0.9997499962,0.9997499962,0.9997499962,0.9,0.8571428571,1.0,0.8571428571,0.0002011893,0.0002011893,0.0002011893,0.0002011893,0.9,0.8571428571,1.0,0.8571428571,0.9500000000000001,1.0,0.8333333333,1.0,"['Incorrect number of total trials for worker_id:s017', 'Incorrect number of trials in small condition for worker_id:s017', 'Incorrect number of trials in medium condition for worker_id:s017', 'Incorrect number of trials in large condition for worker_id:s017']",9,308.0,0.0,153.1958056688,780.53,0.0,1.0608329606,-0.0685784389,0.6355220441
s026,12.1666666667,4.5350486951,0.33333333330000003,54.0,21.2083333333,7.0954925476,0.2,489.0,13.0,4.996003611e-16,1,502.8462249836,-3.001071613e-16,18,-3.0,10.0,-9.020562075000002e-17,0,524.6972979096,-8.261620554000001e-17,18,0.0,0.9809160305000001,-0.9860481458,0.1785714286,3.8137422442,1.0,319.0,0.8214285714,0.0,0.537037037,1292.0,1306.0,0.0,-24.34375,145,169.4113419396,229.0579915302,,,,,,,,,,,0.4615384615,0.999299955,0.999299955,0.9986495153,0.9975981938,1.0,1.0,1.0,1.0,0.0006324555,0.0006324555,0.001,0.0015704178,1.0,1.0,1.0,1.0,0.7000000000000001,0.7142857143,0.6666666667000001,0.7142857143,"['Incorrect number of total trials for worker_id:s026', 'Incorrect number of trials in small condition for worker_id:s026', 'Incorrect number of trials in medium condition for worker_id:s026', 'Incorrect number of trials in large condition for worker_id:s026']",10,271.0,0.0,33.7044547064,498.8133333333,0.0,0.8555787827,-0.0301799656,0.7715765523
s027,28.3333333333,7.7849894416000005,0.2941176471,305.0,24.4444444444,4.3954819347,0.4,410.0,16.5,0.6049295775,3,-40.3053913945,-0.0264225352,18,-1.7373239436999999,11.6111111111,0.1612574062,1,-40.5855490727,-0.0039881501,18,0.013166556900000001,0.9923664122,-0.7439238538,0.08,4.2979908282,1.0,334.0,0.92,0.0,0.3917910448,883.0,897.0,0.0074074074000000005,-65.625,105,374.0823485275,396.7685553642,0.7449405988000001,0.33333333330000003,4.3333333333,0.0016209457,20.0,0.7121877670000001,0.9,7.1,0.0018455326,800.0,0.5333333333,0.9538658187000001,0.9741544815000001,0.9538658187000001,0.9012813101,0.9,0.8571428571,1.0,1.0,0.06403124240000001,0.0447692551,0.06403124240000001,0.158113883,0.9,0.8571428571,1.0,1.0,0.15,0.1428571429,0.1666666667,0.1428571429,"['Incorrect number of total trials for worker_id:s027', 'Incorrect number of trials in small condition for worker_id:s027', 'Incorrect number of trials in medium condition for worker_id:s027', 'Incorrect number of trials in large condition for worker_id:s027']",7,307.0,0.0,51.2424893263,368.07,0.0,-0.46141715050000004,0.0336306211,-0.28811526330000004
