,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.log_ll,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.num_trials,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.log_ll,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.num_trials,columbia_card_task_hot.probability_sensitivity,go_nogo.acc,go_nogo.bias,go_nogo.commission_errors,go_nogo.dprime,go_nogo.go_acc,go_nogo.go_rt,go_nogo.nogo_acc,go_nogo.omission_errors,hierarchical_rule.acc,hierarchical_rule.avg_rt,hierarchical_rule.avg_rt_error,hierarchical_rule.missed_percent,hierarchical_rule.post_error_slowing,hierarchical_rule.score,hierarchical_rule.std_rt,hierarchical_rule.std_rt_error,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_acc,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_total_points,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_acc,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,information_sampling_task.Fixed_Win_total_points,keep_track.score,kirby.exp_discount_rate,kirby.exp_discount_rate_large,kirby.exp_discount_rate_medium,kirby.exp_discount_rate_small,kirby.exp_match_pct,kirby.exp_match_pct_large,kirby.exp_match_pct_medium,kirby.exp_match_pct_small,kirby.hyp_discount_rate,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,kirby.hyp_match_pct,kirby.hyp_match_pct_large,kirby.hyp_match_pct_medium,kirby.hyp_match_pct_small,kirby.percent_patient,kirby.percent_patient_large,kirby.percent_patient_medium,kirby.percent_patient_small,kirby.warnings,ravens.score,simple_reaction_time.avg_rt,simple_reaction_time.missed_percent,simple_reaction_time.std_rt,two_stage_decision.avg_rt,two_stage_decision.missed_percent,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance
s005,12.1666666667,0.3285714286,1,-9.0366913607,-0.0242857143,6,-3.5714285714000003,10.4444444444,0.6333333333,2,-21.3695566804,-0.0275,9,-3.125,0.9886363636000001,0.1332928356,0.0,4.7960405106,0.9882352941,361.5,1.0,0.0117647059,0.3076923077,660.5,802.5,0.1333333333,-120.8,24,199.6234861731,255.0896534687,,,,,,,,,,0.6666666667000001,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s005', 'Incorrect number of trials in small condition for worker_id:s005', 'Incorrect number of trials in medium condition for worker_id:s005', 'Incorrect number of trials in large condition for worker_id:s005']",3,267.0,0.0,99.1622088801,862.7448979592,0.02,-0.3208017587,-0.0760665023,-0.33347390590000003
s007,11.5,0.0857142857,0,-7.6978300528,0.0045714286,6,1.9285714286000002,16.0,0.25,1,-1.0589112499,-0.006,6,1.25,0.9545454545000001,-1.2656565454,0.5,2.5313130909,1.0,349.5,0.5,0.0,0.4090909091,1374.0,1457.0,0.022222222200000002,109.0,36,472.7906102188,534.6859395211,,,,,,,,,,0.8,0.932596148,0.9368117971000001,0.9591600679000001,0.932596148,0.8571428571,1.0,1.0,0.6666666667000001,0.034107706200000004,0.0399243052,0.0149233694,0.056120869000000004,0.8571428571,1,1.0,0.6666666667000001,0.2857142857,0.5,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s007', 'Incorrect number of trials in small condition for worker_id:s007', 'Incorrect number of trials in medium condition for worker_id:s007', 'Incorrect number of trials in large condition for worker_id:s007']",2,367.5,0.0,35.5924157216,,,,,
s009,11.6666666667,0.1875,0,-17.3622598725,0.07666544,6,-5.625,19.5,0.006789028900000001,0,62.7879615355,0.1697257232,2,-11.5,1.0,0.0,0.0,5.0626261818,1.0,294.0,1.0,0.0,0.5444444444000001,688.0,700.0,0.0,-182.2307692308,49,265.0194833038,200.0737425027,,,,,,,,,,0.5,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s009', 'Incorrect number of trials in small condition for worker_id:s009', 'Incorrect number of trials in medium condition for worker_id:s009', 'Incorrect number of trials in large condition for worker_id:s009']",1,245.0,0.0,60.4566842339,616.69,0.0,0.0127292503,-0.0274861573,-0.1060050444
s011,8.1666666667,0.0571428571,0,-11.9941417442,-0.0122857143,6,0.2857142857,9.3333333333,0.033333333300000004,0,-10.2397236339,-0.007333333300000001,6,-4.1666666667,0.9886363636000001,-0.7318712835000001,0.1428571429,3.5988836148,1.0,323.0,0.8571428571,0.0,0.4382022472,745.0,916.5,0.011111111100000001,-53.5,39,188.1258444056,237.2257170214,,,,,,,,,,1.0,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,0.8571428571,0.5,1.0,1.0,0.25,0.25,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s011', 'Incorrect number of trials in small condition for worker_id:s011', 'Incorrect number of trials in medium condition for worker_id:s011', 'Incorrect number of trials in large condition for worker_id:s011']",3,331.0,0.0,64.31412951,485.69,0.0,-0.5505980622000001,-0.2088615372,-0.6150163299
s012,12.0,0.3857142857,0,-19.2681536464,-0.029142857100000003,6,-7.7142857143,4.5,8.187894806999999e-16,0,-14.7519558243,-0.018000000000000002,6,-3.0,0.9772727273,-0.7069838609,0.2,3.097210189,0.9879518072000001,318.5,0.8,0.012048192800000001,0.5444444444000001,748.0,902.0,0.0,-52.8,49,249.7827678653,332.245721586,,,,,,,,,,0.8333333333,0.9844600706000001,0.9368117971000001,0.9591600679000001,0.9844600706000001,1.0,1.0,1.0,1.0,0.0158414076,0.0399243052,0.0149233694,0.0158414076,1.0,1,1.0,1.0,0.4285714286,0.5,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s012', 'Incorrect number of trials in small condition for worker_id:s012', 'Incorrect number of trials in medium condition for worker_id:s012', 'Incorrect number of trials in large condition for worker_id:s012']",2,291.0,0.0,56.5360193096,688.05,0.0,0.7821932043000001,0.16423979160000002,0.8949611184
s014,9.0,-0.033333333300000004,0,-10.6752696635,-0.003,6,0.0,2.5,0.0571428571,0,-1.4595054277,-0.0048571429,6,0.1428571429,0.9886363636000001,0.1498536278,0.0,4.7629189262,0.9871794872,307.0,1.0,0.012820512800000001,0.3372093023,657.0,481.0,0.044444444400000005,,29,325.9154027561,266.7437662666,,,,,,,,,,0.4,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,0.8571428571,0.5,1.0,1.0,0.1265219767,0.25,0.0149233694,0.06403124240000001,0.8571428571,1,1.0,1.0,0.1428571429,0.0,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s014', 'Incorrect number of trials in small condition for worker_id:s014', 'Incorrect number of trials in medium condition for worker_id:s014', 'Incorrect number of trials in large condition for worker_id:s014']",0,327.5,0.0,107.1895066094,,,,,
s015,16.6666666667,1.127570259e-16,1,166.5322105358,-4.3368086899999995e-16,6,-5.0,8.8571428571,0.1357142857,1,-8.8535149736,-0.0002857143,7,-6.9285714286,0.9659090909,-1.0502928958,0.33333333330000003,2.9620403902,1.0,310.0,0.6666666667000001,0.0,0.4333333333,867.0,913.0,0.0,57.8571428571,39,288.8551206085,320.1701312446,,,,,,,,,,0.75,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,1.0,1.0,1.0,1.0,0.06403124240000001,0.0399243052,0.0149233694,0.06403124240000001,1.0,1,1.0,1.0,0.2857142857,0.5,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s015', 'Incorrect number of trials in small condition for worker_id:s015', 'Incorrect number of trials in medium condition for worker_id:s015', 'Incorrect number of trials in large condition for worker_id:s015']",2,286.0,0.0,46.9901778424,672.0,0.02,-0.5675812973000001,-0.0047440225,-0.5750062304
s017,5.3333333333,2.2204460489999999e-16,0,-8.1602820923,-0.004,6,0.0,17.5,0.7483370288000001,0,61.6248107257,-0.01,2,0.024944567600000002,1.0,0.0,0.0,5.0626261818,1.0,321.0,1.0,0.0,0.5666666667,902.0,1007.0,0.0,113.25,51,268.9362618562,311.693775117,,,,,,,,,,0.625,0.9997499962,0.9984583584000001,0.9997499962,0.9984583584000001,1.0,1.0,1.0,1.0,0.0002011893,0.0006903211000000001,0.0002011893,0.0006903211000000001,1.0,1,1.0,1.0,0.8571428571,1.0,0.5,1.0,"['Incorrect number of total trials for worker_id:s017', 'Incorrect number of trials in small condition for worker_id:s017', 'Incorrect number of trials in medium condition for worker_id:s017', 'Incorrect number of trials in large condition for worker_id:s017']",1,358.0,0.0,63.5656491326,722.31,0.0,0.37694475850000003,0.276066488,0.38603377310000003
s026,10.0,2.2204460489999999e-16,0,183.2315133863,-2.7755575620000004e-17,6,4.440892099e-16,6.1666666667,-0.0142857143,0,-1.4595054277,0.0002857143,6,0.2142857143,0.9886363636000001,-0.6553363710000001,0.1111111111,3.7519534397000003,1.0,306.0,0.8888888889000001,0.0,0.40449438200000004,740.0,693.0,0.011111111100000001,10.0909090909,36,226.0192785709,231.0335960339,,,,,,,,,,0.5,0.9844600706000001,0.9368117971000001,0.9591600679000001,0.9844600706000001,1.0,1.0,1.0,1.0,0.0158414076,0.0399243052,0.0149233694,0.0158414076,1.0,1,1.0,1.0,0.4285714286,0.5,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s026', 'Incorrect number of trials in small condition for worker_id:s026', 'Incorrect number of trials in medium condition for worker_id:s026', 'Incorrect number of trials in large condition for worker_id:s026']",1,297.0,0.0,60.1367159797,619.91,0.0,-0.6340686787,0.050099563,-0.5549686957000001
s027,6.6666666667,-0.5,3,164.3421122583,-0.02,6,5.0,11.4,0.4570840682,1,-11.0677806788,0.008,5,-0.179159318,0.9772727273,-1.0502928958,0.33333333330000003,2.9620403902,1.0,331.0,0.6666666667000001,0.0,0.4,1075.5,1081.0,0.0,-103.0833333333,36,299.3309086231,336.485851355,,,,,,,,,,0.75,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,1.0,1.0,1.0,1.0,0.06403124240000001,0.0399243052,0.0149233694,0.06403124240000001,1.0,1,1.0,1.0,0.2857142857,0.5,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s027', 'Incorrect number of trials in small condition for worker_id:s027', 'Incorrect number of trials in medium condition for worker_id:s027', 'Incorrect number of trials in large condition for worker_id:s027']",3,269.5,0.0,50.9347405526,,,,,
