"",".n","task","survey"
"1",1,0.272970051986663,0.113416879362133
"2",2,0.263372809683462,0.124607327896445
"3",3,0.247942879910197,0.140453888167504
"4",4,0.250474100008216,0.145799948211811
"5",5,0.25879434108767,0.138511912181953
"6",6,0.27996348679197,0.0857560976354955
"7",7,0.290281807754409,0.156127603122247
"8",8,0.282519178898932,0.177585794611033
"9",9,0.298212082840581,0.184126064129844
"10",10,0.253709963070901,0.0971325446284077
"11",11,0.25693226725656,0.135526993757284
"12",12,0.307384422298459,0.159519062337984
"13",13,0.282725081158529,0.125387091301965
"14",14,0.274781234151058,0.0952504594028166
"15",15,0.276057475661067,0.124146906103372
"16",16,0.264294179219627,0.119492196815937
"17",17,0.292939333804487,0.128545577226123
"18",18,0.26957110497958,0.134687617950734
"19",19,0.299267739646994,0.115067442918157
"20",20,0.255733682925542,0.0887097440917942
"21",21,0.268640288065615,0.190508614254238
"22",22,0.258748250893933,0.159956739294855
"23",23,0.280682631043185,0.130604506296358
"24",24,0.265705531570636,0.109896965986053
"25",25,0.25491588098042,0.148651413628386
"26",26,0.260874488703132,0.148136791588548
"27",27,0.260012744040932,0.156169349591369
"28",28,0.289556283811689,0.0972560081418869
"29",29,0.269258942983165,0.1468966101612
"30",30,0.249657913407142,0.181190125666083
"31",31,0.255699880906399,0.178694321959025
"32",32,0.268569992220406,0.131333917738882
"33",33,0.273214722965134,0.117363622836905
"34",34,0.260063079792348,0.127621395169872
"35",35,0.227887787913534,0.146050712023421
"36",36,0.259352364473242,0.154547946524663
"37",37,0.264085184835317,0.146617221067867
"38",38,0.279904874298716,0.134813537858281
"39",39,0.269417852613327,0.145777012542641
"40",40,0.298245839590997,0.104800497326749
"41",41,0.277928548351876,0.112885944466474
"42",42,0.269571985337764,0.154421022563383
"43",43,0.298692389742521,0.117859750983668
"44",44,0.285945407548128,0.0724243158662082
"45",45,0.256850762381413,0.153941846244923
"46",46,0.273848907836273,0.203299747104984
"47",47,0.289361067251602,0.13097225383271
"48",48,0.285214785231247,0.139460796753191
"49",49,0.271697381748966,0.0992096107519046
"50",50,0.262514963271897,0.0907889871748815
"51",51,0.302815018256892,0.154237744034282
"52",52,0.274574529764536,0.19063193159916
"53",53,0.275284661355078,0.104519905576749
"54",54,0.288216110454004,0.136537396139394
"55",55,0.26733882206321,0.173803956437381
"56",56,0.244945039355819,0.159630485709484
"57",57,0.251113310942579,0.11565315108108
"58",58,0.286312506836274,0.17924004955947
"59",59,0.267197314505494,0.175005681781758
"60",60,0.299654721067426,0.136172021917215
"61",61,0.25666405474351,0.0745517713673249
"62",62,0.286479965371152,0.149045031983734
"63",63,0.275189908147231,0.193459196120148
"64",64,0.276349547035871,0.0950616528190835
"65",65,0.269871531679363,0.109161798475414
"66",66,0.298008863705768,0.11014271041077
"67",67,0.264473213560706,0.132647476505343
"68",68,0.25684278184014,0.179138504467068
"69",69,0.269845745462834,0.196500093812912
"70",70,0.245659435982005,0.1451330563329
"71",71,0.242837075539945,0.144381479195901
"72",72,0.279565393599135,0.0866911631592608
"73",73,0.266126290206817,0.1242387323625
"74",74,0.260684959742822,0.135828397969278
"75",75,0.246153715228389,0.184514348333521
"76",76,0.277655640335528,0.0957461810424669
"77",77,0.274572188039692,0.121318583370489
"78",78,0.249930529580939,0.129346161188391
"79",79,0.274061535720676,0.156563882252267
"80",80,0.275140602272916,0.169871762045097
"81",81,0.23163630730261,0.117694064832052
"82",82,0.269992985899888,0.124339964819979
"83",83,0.26796281211765,0.0838011684760047
"84",84,0.305163484598661,0.105324608742019
"85",85,0.290257609872755,0.186706217683801
"86",86,0.276016560517753,0.145957937648461
"87",87,0.286655297357887,0.169285697554092
"88",88,0.24356498928564,0.145645826510874
"89",89,0.275860238983298,0.168994140996225
"90",90,0.254116997749864,0.123085055436704
"91",91,0.289327831145587,0.141319535531961
"92",92,0.281165621701221,0.164217179552469
"93",93,0.276713691751415,0.137701342225853
"94",94,0.293431348975373,0.135530194272901
"95",95,0.22317789836097,0.121879432107264
"96",96,0.244719798283112,0.195874793839738
"97",97,0.271805035419499,0.185131029898896
"98",98,0.285981367082831,0.0755900028379185
"99",99,0.256335814917385,0.114932142168721
"100",100,0.259699664041698,0.160559545780322
